episode,reward,success,steps,coverage
1,0.0,0,13,0.0625
2,0.0,0,7,0.078125
3,0.0,0,14,0.140625
4,0.0,0,30,0.15625
5,0.0,0,14,0.171875
6,0.0,0,5,0.171875
7,0.0,0,7,0.171875
8,0.0,0,7,0.203125
9,0.0,0,8,0.203125
10,0.0,0,3,0.203125
11,0.0,0,10,0.203125
12,0.0,0,6,0.203125
13,0.0,0,11,0.21875
14,0.0,0,15,0.25
15,0.0,0,20,0.25
16,0.0,0,44,0.296875
17,0.0,0,5,0.296875
18,0.0,0,3,0.296875
19,0.0,0,12,0.296875
20,0.0,0,6,0.296875
21,0.0,0,33,0.296875
22,0.0,0,7,0.3125
23,0.0,0,4,0.3125
24,0.0,0,33,0.328125
25,0.0,0,22,0.34375
26,0.0,0,5,0.34375
27,0.0,0,24,0.34375
28,0.0,0,4,0.34375
29,0.0,0,7,0.34375
30,0.0,0,29,0.34375
31,0.0,0,24,0.34375
32,0.0,0,5,0.359375
33,0.0,0,7,0.359375
34,0.0,0,25,0.359375
35,0.0,0,4,0.359375
36,0.0,0,5,0.359375
37,0.0,0,36,0.390625
38,0.0,0,18,0.390625
39,0.0,0,17,0.390625
40,0.0,0,4,0.390625
41,0.0,0,22,0.390625
42,0.0,0,3,0.390625
43,0.0,0,8,0.390625
44,0.0,0,6,0.390625
45,0.0,0,4,0.390625
46,0.0,0,27,0.421875
47,0.0,0,16,0.421875
48,0.0,0,18,0.4375
49,0.0,0,10,0.4375
50,0.0,0,8,0.4375
51,0.0,0,11,0.4375
52,0.0,0,26,0.4375
53,0.0,0,16,0.484375
54,0.0,0,19,0.484375
55,0.0,0,25,0.484375
56,0.0,0,13,0.484375
57,0.0,0,25,0.484375
58,0.0,0,17,0.484375
59,0.0,0,20,0.484375
60,0.0,0,7,0.484375
61,0.0,0,24,0.484375
62,0.0,0,17,0.484375
63,0.0,0,2,0.484375
64,0.0,0,17,0.484375
65,0.0,0,87,0.5
66,0.0,0,29,0.5
67,0.0,0,7,0.5
68,0.0,0,19,0.5
69,1.0,1,18,0.515625
70,0.0,0,10,0.515625
71,0.0,0,7,0.515625
72,1.0,1,11,0.515625
73,0.0,0,8,0.515625
74,0.0,0,14,0.515625
75,0.0,0,4,0.515625
76,0.0,0,38,0.515625
77,0.0,0,25,0.515625
78,0.0,0,13,0.515625
79,0.0,0,33,0.515625
80,0.0,0,20,0.515625
81,0.0,0,12,0.515625
82,0.0,0,10,0.53125
83,0.0,0,22,0.53125
84,0.0,0,8,0.53125
85,1.0,1,16,0.53125
86,1.0,1,36,0.546875
87,1.0,1,26,0.546875
88,1.0,1,10,0.546875
89,1.0,1,12,0.5625
90,0.0,0,17,0.5625
91,0.0,0,80,0.5625
92,0.0,0,12,0.578125
93,0.0,0,5,0.578125
94,1.0,1,16,0.578125
95,1.0,1,11,0.578125
96,0.0,0,9,0.578125
97,0.0,0,57,0.578125
98,0.0,0,7,0.578125
99,1.0,1,11,0.578125
100,0.0,0,46,0.578125
