episode,reward,success,steps,coverage
1,0.0,0,4,0.359375
2,1.0,1,11,0.359375
3,1.0,1,14,0.359375
4,1.0,1,9,0.359375
5,0.0,0,45,0.359375
6,0.0,0,5,0.359375
7,1.0,1,18,0.359375
8,0.0,0,19,0.359375
9,1.0,1,16,0.359375
10,0.0,0,11,0.359375
11,0.0,0,4,0.359375
12,0.0,0,15,0.359375
13,0.0,0,13,0.359375
14,0.0,0,10,0.359375
15,1.0,1,16,0.359375
16,0.0,0,7,0.359375
17,1.0,1,22,0.359375
18,1.0,1,35,0.359375
19,1.0,1,40,0.359375
20,0.0,0,25,0.359375
21,0.0,0,2,0.359375
22,1.0,1,13,0.359375
23,0.0,0,32,0.359375
24,0.0,0,3,0.359375
25,0.0,0,4,0.359375
26,0.0,0,17,0.359375
27,1.0,1,10,0.359375
28,0.0,0,7,0.359375
29,0.0,0,6,0.359375
30,1.0,1,17,0.359375
31,0.0,0,5,0.359375
32,0.0,0,2,0.359375
33,0.0,0,6,0.359375
34,1.0,1,14,0.359375
35,0.0,0,3,0.359375
36,0.0,0,6,0.359375
37,0.0,0,4,0.359375
38,0.0,0,5,0.359375
39,0.0,0,33,0.359375
40,1.0,1,15,0.359375
41,0.0,0,15,0.359375
42,1.0,1,15,0.359375
43,1.0,1,8,0.359375
44,0.0,0,2,0.359375
45,0.0,0,2,0.359375
46,0.0,0,8,0.359375
47,1.0,1,32,0.359375
48,0.0,0,23,0.359375
49,1.0,1,21,0.359375
50,0.0,0,25,0.359375
51,0.0,0,14,0.359375
52,0.0,0,25,0.359375
53,1.0,1,12,0.359375
54,0.0,0,55,0.359375
55,0.0,0,6,0.359375
56,1.0,1,17,0.359375
57,0.0,0,70,0.359375
58,1.0,1,68,0.359375
59,0.0,0,13,0.359375
60,0.0,0,36,0.359375
61,1.0,1,29,0.359375
62,1.0,1,24,0.359375
63,1.0,1,61,0.359375
64,1.0,1,23,0.359375
65,1.0,1,20,0.359375
66,1.0,1,40,0.359375
67,1.0,1,21,0.359375
68,1.0,1,49,0.359375
69,1.0,1,8,0.359375
70,0.0,0,8,0.359375
71,0.0,0,10,0.359375
72,0.0,0,53,0.359375
73,1.0,1,9,0.359375
74,1.0,1,15,0.359375
75,0.0,0,4,0.359375
76,1.0,1,31,0.359375
77,0.0,0,100,0.359375
78,0.0,0,4,0.359375
79,0.0,0,19,0.359375
80,0.0,0,45,0.359375
81,0.0,0,36,0.359375
82,0.0,0,12,0.359375
83,0.0,0,17,0.359375
84,1.0,1,19,0.359375
85,1.0,1,45,0.359375
86,1.0,1,36,0.359375
87,1.0,1,8,0.359375
88,1.0,1,17,0.359375
89,0.0,0,25,0.359375
90,1.0,1,34,0.359375
91,0.0,0,71,0.359375
92,1.0,1,48,0.359375
93,1.0,1,26,0.359375
94,1.0,1,26,0.359375
95,1.0,1,31,0.359375
96,1.0,1,10,0.359375
97,1.0,1,31,0.359375
98,1.0,1,34,0.359375
99,1.0,1,18,0.359375
100,1.0,1,60,0.359375
